"genus","species","continent","subgenera","year_described","range","is_in_germany","rare","observer"
"Bombus","muscorum","Europe","Thoracobombus",1761,"The distribution of Bombus m. muscorum is remarkably wide. The species is found from Ireland to Mongolia and from the latitude of Stockholm to Crete. The northernmost location of the subspecies is in the surroundings of Vyborg, in Russian Karelia and in Orkney Islands. More north, we find B. muscorum bannitus.
B. muscorum is generally uncommon to very uncommon in all its continental locations. On the contrary, it may be quite common in its maritime locations, specially along the Atlantic coasts. It is very uncommon in the southern half of the Iberian peninsula and the south of Italy and utterly uncommon in Turkey, the Caucasus and Transcaucasia. It has never been encountered in S. Greece nor in N. Africa, nor in Iran. B. muscorum muscorum includes several local variations in pilosity lenght that are often taken as subsp. (sladeni from England, agricolae from Orkney islands, laevis from Turkey).
Bombus muscorum bannitus is a strictly coastal subspecies throughout its western distribution. Its highest observation is at 330 m, in the Scottish Highlands (Richards, 1935). It includes a serial of more or less conspicuous local variations often taken as subspecies (allenellus from Aran island, scyllonius from Scilly, liepetterseni from W-Norway, bannitus s.s. from N-Russia).
The specimens reported from E. Anatolia, the Caucasus and Transcaucasia are always isolated workers and it is not unlikely that they are, indeed, faded B. laesus workers.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","pascuorum","Europe","Thoracobombus",1763,"Bombus pascuorum is, by far, the most abundant bumblebee species in the West-Palaearctic. Its distribution is very wide.
Northwards, it avoids the true tundra and it is absent from the Arctic islands, as well as from Iceland, the Orkneys, the Shetlands, the Hebrides and the Faeroes.
Southwards, it avoids steppic as well as warm Mediterranean surroundings : it is absent from the south of the Iberian peninsula, of Italy and of the Balkan. It is found in Corsica and Sicily, though not in Sardinia and it is absent from the other large Mediterranean islands. It is also absent from N. Africa, Syria, Lebanon and Israel.
Eastwards, it avoids the steppic regions of S. Ukraine, S. Russia, Anatolia and Iran but extends in Siberia to the Baikal region and S.-W. Yakutia.
Bombus pascuorum includes as much as 23 subspecies ( pascuorum; melleofacies; intermedius; dusmeti; bofilli; maculatus; freygessneri; rufocitrinus; rufostriatus; septentrionalis; siciliensis; vulgo; floralis; gotlandicus; pallidofacies; paphlagonicus; rehbinderi; mniorum; smithianus; moorselensis; olympicus; sparreanus; taleshensis.). They are often brightly coloured and conspicuously different.
In most of its area, the species is quite common. In the Mediterranean region, it is confined to the forests, the irrigated fields and some urban surroundings.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","pereziellus","Europe","Thoracobombus",1922,"Bombus pereziellus is strictly endemic to Corsica. Its phylogenetical relationships with muscorum are unclear.","no","yes","Ricardo Andres Urrego Alvarez"
"Bombus","persicus","Europe","Thoracobombus",1881,"Bombus persicus lives in the Near-East mountains : Caucasus, Georgia, Azerbaydzhan, Anatolia, Armenia, N. Iran. Most of this range belongs to the ssp. eversmanniellus the ssp. persicus being restricted to N. Iran.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","pomorum ","Europe","Thoracobombus",1805,"B. pomorum pomorum lives in the plains and hills of West and Central Europe and W. Anatolia. The subspecies B. pomorum uralensis is found in the plains and the southern hills of the Ural region ; the subspecies B. pomorum canus in the subalpine and alpine steppes of E. Anatolia, Armenia and the Caucasus region.
The distribution of B. pomorum pomorum is restricted in latitude. Its southern limits are: in Massif Central (France), in N. Greece, and in N. Anatolia. The most northern findings are from the Danish Jylland, with one ancient location in S. Sweden, southern Latvia and, in Russia, the Novgorod and Molotov (Ural) regions.
In longitude, the subspecies ranges from Normandy (France) to the Perm region (Russia). Only one specimen is known from the British Is. and it has never been caught in the Pyrenees. All the southern locations are in the mountains ; many northern ones are ancient.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","ruderarius","Europe","Thoracobombus",1776,"The range of Bombus ruderarius extends over a large part of the West-Palaearctic region.
In the Iberian peninsula, it is found in the northern mountain ridges, where the form montanus coexists with the nominal subspecies. The nominal subspecies is present in Ireland, Great-Britain and in Fennoscandia, around the Gulf of Bothnia, where it reaches the Arctic Circle. In Russia, the nominal subspecies and the form montanus are found, grossly, between the 50th and 60th parallels. The eastern limits of the species are in SW. Siberia and in the mountains of E. Turkestan (ssp. sartus). Southwards, the range of B. ruderarius extends to the south of the Italian peninsula and in the Balkan, to the Parnassos Mt. (Greece) without including, however, the Mediterranean littoral and the large Mediterranean islands. The subspecies B. ruderarius tunensis is endemic to E. Algeria and N. Tunisia. The nominal subspecies is found in W. Anatolia, whereas B. ruderarius simulatilis lives in the mountains of Anatolia, the Caucasus region and N. Iran. There appears to be a wide discontinuity between the populations of this region and those of the S. Russia plains.
As it is for B. sylvarum, the distribution of B. ruderarius is patchy; ranging from very rare (as in N. Africa), to very common : in some places of the E. Pyrenees, the species may account for more than the half of all the observed bumblebees .","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","schrencki ","Europe","Thoracobombus",1882,"B. schrencki is found from Wigry (NE. Poland) (Krzysztofiak, 1992) through the whole Russian and Siberian taiga, to the Pacific coast, Kamchatka, Japan, Sakhalin and Kuril Is. It could be a common species locally as Mänd et al. (1999) found B. schrencki profusely in several locations in Estonia, in natural surroundings as in cultivated areas.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","sylvarum","Europe","Thoracobombus",1761,"Bombus sylvarum is widely distributed in the West-Palaearctic region. It may be quite common and in some places, it is the predominant bumblebee species. West, its range extends in the Iberian peninsula to the parallel of Madrid. It is present in England, Wales and SE. Ireland but completely absent from Scotland. North, it extends in Fennoscandia to the 63rd parallel and in Russia to the 60th parallel. East, it hardly extends beyond the southern part of the Ural Mts., to Cheliabinsk. South-east, B. sylvarum is present throughout E. Anatolia, where it is present as its steppic daghestanicus form, in the Caucasus, Georgia, Armenia and NW. Iran. In the latter country, it does not reach the Mazandaran region. In the southern part of its range, B. sylvarum is clearly a montane species. It reaches the Etna in Sicily and the Taurus and Amanaus in Anatolia. In the Balkan, its limits are more northern : the mountains in N. Albania, Macedonia, Bulgaria and Pindos Mts., in N. Greece. It is absent from the large Mediterranean islands (except Sicily) and from N. Africa.
Bombus sylvarum can be very abundant in some locations.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","velox","Europe","Thoracobombus",1914,"Bombus velox is an uncommon species, even in its very restricted area. It has been ignored for long and has been the topic of few papers.
The known range of B. velox is restricted to NE. Anatolia and the Caucasus. It is nevertheless not excluded that the species be discovered in the surrounding regions of Georgia, Armenia, Azerbaydzhan and Iran.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","veteranus","Europe","Thoracobombus",1793,"The distribution of Bombus veteranus is highly patchy.
The species lives in the plains of N. Europe. The most southern confirmed observations are in the south of the French Massif Central, about the 44th parallel.
As some old data concerning locations in Italy are dubious as they refer to isolated and maybe wrongly identified individuals, Bombus veteranus has not been reliably reported south of the Alps and the Carpathians.
West, B. veteranus reaches the coasts of French Brittany but not the British Is., nor the Pyrenees, nor the Iberian peninsula. North, B. veteranus does not extend beyond the 60th parallel, except in Finland where its range appears to be rapidly expanding. In Russia, it extends east to Irkutsk, including the Altai and the Sayan Mts. It is also present in N. Mongolia.
Within this range, the very abundance of the species is highly variable in time and space. In most places, it is uncommon but it may abound in some, without any intelligible ecological reason. To give eamples, it was one of the most abundant bumblebees in Belgium one century ago, but it is now nearly vanished there. On the contrary, according to Söderman (1999) the species has recently become common in a large part of S. Finland.","yes","no","Ricardo Andres Urrego Alvarez"
"Bombus","zonatus","Europe","Thoracobombus",1854,"Bombus zonatus is common in Greece, Macedonia, Bulgaria, European Turkey, Anatolia, and Armenia. Some locations are reported from Albania, Romania, Crimea, Caucasus, Georgia, Azerbaydzhan and NW. Iran. The most northern locality known is near Volgograd (Russia). The most oriental populations (Anatolia, Transcaucasia, Caucasus, N. Iran) refeer to the ssp. apicalis, the other ones are from the nominal ssp.","no","no","Ricardo Andres Urrego Alvarez"
"Bombus","hyperboreus","Europe","Alpinobombus",1809,"beyond the tree-line and on the alpine stage of the Scandinavian mountains, at latitudes nowhere lower than 60° N. Its distribution is more strictly Arctic than for B. polaris and in N. America, it is absent from the shores of the Hudson Bay, as from Quebec and Labrador, but reaches the far north of Ellesmere Isl. and Greenland, well beyond the 80th parallel. 
In the West-Palaearctic region, the range of B. hyperboreus is the same as that of B. polaris, including Novaia Zemlia, Wrangel and some other islands of northern Russia and Siberia.","no","yes","Emil Cyranka"
"Bombus","polaris","Europe","Alpinobombus",1935,"circumboreal (K.W. Richards, 1973). This distribution reminds of that of balteatus, while being more arctic: the species is restricted to the strictly arctic milieu. In N. America, it stays north of the 60th parallel, except in a few places in Labrador, on the Hudson Bay and in Quebec, but always beyond the tree-line. It is also found in the islands islands : on Baffin and Ellesmere, and even on the far north of Greenland, i. e. well above the 80° N. 
In continental Russia and Siberia, it is restricted to the coast of the Arctic Ocean. It is also present on Novaia Zemlia, Wrangel and some other Siberian islands (Berezin 1995). As in Greenland, polaris can be found up to the 83rd parallel.","no","yes","Emil Cyranka"
"Bombus","cryptarum","Europe","bombus",1775,"continental species. It has been found as far east as the Ussuri (E. Siberia) (Rasmont et al., 1986). In the west, it is absent from the Pyrenees and the Iberian and Italian Peninsulas. It has been found only recently in the British Isles and in Ireland. Along the Atlantic coast, B. cryptarum often coexist with B. magnus, both species being difficult to separate. North of the 45th parallel, populations live in the plains, mainly in the Ericaceae heather ; more south, it is a mountain species. 
Concerning N. Europe, few ecological data are available. The species may exist up to the north of Fennoscandia. According to Pamilo et al. (1997) and to many personal observations, B. cryptarum may totally supplant B. lucorum north of the Arctic Circle","yes","yes","Emil Cyranka"
"Bombus","lucorum","Europe","bombus",1761,"very widespread in Europe, reaching the coast of the Barent's See to the North. However, in the southern countries, it remains in the hills and the mountains, never reaching the Mediterranean coast.","yes","no","Emil Cyranka"
"Bombus","magnus","Europe","bombus",1911,"B. magnus seems the most abundant in the Atlantic region.. The species could be common in the maritime moors, from central Portugal (Serra de Estrela) to Narvik, in Norway. Contrarily to B. cryptarum, it is present in the Pyrenees, and in the Iberian Peninsula. (Rasmont, 1984). It is less common eastwards, far from the Atlantic, though it has been found in a few places in S. Finland (Pamilo et al., 1997) and in Poland (Banaszak & Rasmont, 1995). Scattered specimens are found even more east, the most oriental locations being near St Petersburg and Moscow. Still more eastern findings could be related to other species. B. magnus has not been found in the Balkan, nor in Asia Minor.","yes","unclear","Emil Cyranka"
"Bombus","patagiatus","Europe","bombus",1848,"The most western collections are from the region of Petrozavodsk, near Lake Onega, in E. Carelia (Russia) (Pekkarinen et al., 1981). From the map drawn by Tkalcu (1967), we can see that there were hardly more observations west of the Ural. Krüger (1956) mentions a few places in the Perm region. The species is also known from the regions of Moscow, Ivanovo, Kirov, Ul'yanovsk and Kazan.
According to Tkalcu (1967), B. patagiatus ""extends its range over the whole taiga of the former SSSR, to the Ussuri, Sakhalin and Korea, but is absent from Kamchatka and, most probably, from Japan. The northern limit of its range lies clearly south of the northern borderline of the taiga. ""","no","yes","Emil Cyranka"
"Bombus","sporadicus","Europe","bombus",1848,"West-Palaearctic region, its range is rather strictly limited by the 69th and 70th parallels, i. e. to the taiga. In Asia, it occurs with different subspecies, with a wider latitudinal range, extending southwards beyond the limits of the taiga (Tkalcu, 1967). B. sporadicus is known from a large part of Fennoscandia. but common only in eastern Finland.","no","yes","Emil Cyranka"
"Bombus","terrestris","Europe","bombus",1758,"common in a large part of Europe and has been successfully domesticated since 1987. Bombus terrestris is the only bumblebee species with a Mediterranean-centred distribution: the only country of the region from which it is absent is Egypt. It is not restricted to this region, however: to the north, it extends to the latitude of Stockholm and east, to the Altai but it is absent from the alpine stage, the deserts and the arid, subdesertic steppes.","yes","no","Emil Cyranka"
"Bombus","confusus","Europe","Confusibombus",1859,"Central Europe. The species does not reach the Mediterranean peninsulae, nor the Mediterranean sea coast.","yes","no","Emil Cyranka"
"Bombus","cullumanus","Europe","Cullumanobombus",1802,"Europe, subspecies have different ranges","yes","yes","Emil Cyranka"
"Bombus","semenoviellus","Europe","Cullumanobombus",1910,"between the 50th and 65th parallels, from Lithuania in the west to the Okhotsk sea in the east. 
Quite recently (12.VIII.1998), Mrs Jane van der Smissen collected a male, on Cirsium sp., at Lübeck-Walkenkrug, 53°55'N 10°44'E (Schleswig-Holstein, N. Germany) (van der Smissen & Rasmont, 2000). More specimens have been collected here and there in Germany. It has also been found in Czech republic, in Estonia, in Latvia and in Poland. In Finland, it is extending its distribution westwards and northwards.","yes","yes","Emil Cyranka"
"Bombus","soroeensis","Europe","Kallobombus",1793,"large part of the West-Palaearctic region. It has been much published about. North, its range extends to the 70th parallel in Scandinavia and to the 60th in Russia. South, the species is present in the mountains of N. Spain, S.France, Italy and Balkan. West, it extends to the Atlantic coast in Norway, and in the Sierra de Ancares in Spain. It is absent from Ireland and from the Hebrides, but present throughout the British mainland. East, its range extends to the south of central Siberia (around Lake Baykal) and to Mongolia. South-east, in Anatolia, it includes the Taurus, the mountains in the north of the Hakkari province, the Caucasus and the mountains of N. Iran, except the Kopet-dag.","yes","no","Emil Cyranka"
"Bombus","argillaceus","Europe","Megabombus",1763,"To the west, the range of B. argillaceus extends in France to the upper valleys of the Alps and in Switzerland to the upper Rhone. It is found throughout N. Italy and in most of the Austria. The northern limit of its range runs through Slovakia. In Hungary, it is found everywhere. In Romania, it extends to the region of Cluj. It has been found in Moldavia and in Russia up to Kursk and Volgograd. To the east, Skorikov (1931) mentions it from E. Kazakstan. South and south-east, B. argillaceus is found throughout the Balkanic Peninsula, in Creta, Cyprus, Turkey, Caucasus, Transcaucasia and N. Iran, including the Kopet-Dag. Despite ancient erroneus citations, the species is totally absent from the Iberian Peninsula.","no","unclear","Emil Cyranka"
"Bombus","consobrinus","Europe","Megabombus",1832,"Fennoscandia, between the 59th and the 69th parallels. In Russia, the species extends more southwards : to the 51st parallel in the region of Saratov (Efremova, 1991) (fig. 42). In Asia, the species is found throughout Siberia, to the Kamchatka, in Mongolia, in the Gan Su Province (China), in Manchuria, Korea and Japan","no","unclear","Emil Cyranka"
"Bombus","gerstaeckeri","Europe","Megabombus",1882,"southern mountains (Europe)","unclear","yes","Emil Cyranka"
"Bombus","hortorum","Europe","Megabombus",1761,"vast part of the West-Palaearctic region and is mentioned in many articles. In the north of Scandinavia, it extends up to the 70th parallel, but is not found in the tundra. Westward, it has been found in Iceland – where it may have been imported (Prys-Jones et al. 1981) – but not in the Azores, Canary and Madeira Is. To the south, it extends to the latitude of Madrid in the Iberian Peninsula and to Calabria in S. Italy. In Anatolia, the species is common in the north. Eastwards, it extends over the whole Siberian region, to the Ussuri R. and the Altai Mts. South-east, in N. Iran, it reaches the Mazandaran province, but not the Kopet-Dag Mts. It is absent from N. Africa and from the Mediterranean islands, except Corsica, Sicily and, perhaps, Sardinia. B. hortorum has been successfully imported to New-Zealand in 1885.","yes","no","Emil Cyranka"
"Bombus","portschinsky","Europe","Megabombus",1883,"N.-E. Anatolia, in the Caucasus, Armenia and N. Iran","no","yes","Emil Cyranka"
"Bombus","reinigiellus","Europe","Megabombus",1983,"Spanish Sierra Nevada","no","yes","Emil Cyranka"
"Bombus","ruderatus","Europe","Megabombus",1763,"western Europe, specially in its Mediterranean zone. In latitude, its distribution ranges from the Moroccan Atlas, N. Algeria, N. Tunisia and S. Italy to the south of Sweden, Lithuania and Belarus. To the west, the species extends to the whole Iberian Peninsula, Madeira, the Azores, and England. It is very rare in Wales and probably absent from Ireland. The eastern limit of its range is less clear, though it includes Poland, Hungary and Slovakia and seems to reach Ukraine. Efremova (1991) mentions some findings in the upper Volga (Ulyanovskaya Oblast, Kuybyshevskaya Oblast), i. e. largely beyond the main range of the species. In S.-E. France, Switzerland, Austria and Hungary, its distribution appears to be limited by that of B. argillaceus. B. ruderatus is also present in most of the Italian Peninsula, south of Toscana. Besides, B. ruderatus has been imported in New Zealand and in Chile.","yes","no","Emil Cyranka"
"Bombus","saltuarius","Europe","Megabombus",1931,"N. Russia : Arkhangelsk region, Bolshezemelskaya tundra, Pechora basin, north of the Ural Mts., but also in Asia: Sayan Mts. (Siberia) and Gan Su Province (China).","no","yes","Emil Cyranka"
"Bombus","alagesianus","Europe","Megabombus",1930,"West-Palaearctic region, Bombus alagesianus is restricted to Anatolia, Transcaucasia, Caucasus and N. Iran. As it lives in remote places of high mountains, rather few specimens have ever been collected. 
Outside the West-Palaearctic region, B. alagesianus is found in the mountains of Mongolia (ssp. mongolicus) and in the Alai and the Pamir (ssp. pamirus). As the distribution centre of the species lies in central Asia, it may also be expected to be present in the Altai and Sayan Mts.","no","yes","Emil Cyranka"
"Bombus","erzurumensis","Europe","Megabombus",1990,"Central-Asian group of Bombus keriensis Morawitz. B. erzurumensis is endemic to N.-E. Anatolia and N. Iran. We have no data from Armenia nor from the Great Caucasus.","no","yes","Emil Cyranka"
"Bombus","incertus","Europe","Melanobombus",1882,"Anatolia, Transcaucasia and N. Iran. It has not been observed in the Caucasus. B. incertus has not been reported from Armenia, where it is most probably present. Although it does not live at lower altitudes","no","no","Emil Cyranka"
"Bombus","lapidarius","Europe","Melanobombus",1758,"widespread throughout mid-Europe. It is one of the commonest species after B. pascuorum and B. pratorum and before B. hortorum and B. terrestris. 
Northwards, it extends up to the Arctic Circle in Finland, but is uncommon beyond the latitude of Stockholm. Southwards, it is a common plain species down to the 45th parallel. More south, it becomes a mountain ad even alpine species. The most southern observation is in Morocco (ssp. atlanticus), in the alpine stage of Jbel Siroua (orig. data), between the High-Atlas and the Anti-Atlas. 
It is found in the west, in the Cordillera Cantabrica (ssp. decipiens) and in Ireland, but is absent from most of Scotland. In the east, it lives in the plains of Russia, up to the 60th parallel and, according to Panfilov (1981), it reaches Orenburg, south of the Ural Mts. The same author reports a single location in Siberia, N.-W. of Novosibirsk. 
South-east, B. lapidarius is present in the Caucasus (ssp. eriophorus), in N. Anatolia and in the mountains of Georgia and Armenia (ssp. caucasicus). It has not been reported from Iran. 
Throughout the plains of mid-Europe, the species is represented by its nominal lapidarius ssp., black with a red-tipped abdomen. The same holds for the Balkan and W. Anatolia mountains.","yes","no","Emil Cyranka"
"Bombus","sichelii","Europe","Melanobombus",1859,"discontinuous. The northern limit of its range is that of a taiga species. Its most western observations are in the regions of Arkhangelsk and Ivanovo ; it does not reach St Petersburg. Eastwards, the species extends to the Anadyr and Kamchatka peninsulas. 
The southern part of its distribution includes various subspecies, isolated on high mountains : B. sichelii flavissimus in the Pyrenees and the western Alps, B sichelii alticola in the central and eastern Alps, B. sichelii drenowskii and dinibengis in the Balkan, B. sichelii cazurroi in N.-E. Anatolia and caucasus.","no","yes","Emil Cyranka"
"Bombus","handlirschianus","Europe","Mendacibombus",1909,"It lives in the highest alpine steppes of Anatolia, Transcaucasia, Caucasus and N. Iran.","no","unclear","Emil Cyranka"
"Bombus","mendax","Europe","Mendacibombus",1869,"Alps and the Pyrenees, where it lives in the highest altitude levels.","no","yes","Emil Cyranka"
"Bombus","shaposhnikovi","Europe","Mendacibombus",1910,"high alpine steppes of Anatolia, Transcaucasia, Caucasus and N. Iran","no","yes","Emil Cyranka"
"Bombus","barbutellus","Europe","Psithyrus",1802,"S.Spain (?) to the South to mid-Finland to the North and from Ireland to the West to Far-East of Russian to the East","yes","no","Emil Cyranka"
"Bombus","bohemicus","Europe","Psithyrus",1837,"N. Spain, the S.Italy and the Balkan to the South to beyond the Arctic Circle to the North. It extends toFar East of Russia to the East.","yes","no","Emil Cyranka"
"Bombus","campestris","Europe","Psithyrus",1801,"N. Spain, the S.Italy and the Balkan to the South reaching the middle of Fennoscandia to the North. It extends to the Far East of Russia to the East.","yes","no","Emil Cyranka"
"Bombus","flavidus","Europe","Psithyrus",1852,"boreal taïga in the north (nominal ssp.) of its distribution and to the subalpine level in the Pyrenees (ssp. lutescens) and in the Alps (ssp. alpium)","unclear","yes","Emil Cyranka"
"Bombus","norvegicus","Europe","Psithyrus",1918,"Pyrenees to the South to Arctic Circle to the North. It occurs at the Far-East of Russia to the East but to the West, it barely reaches the Atlantic coast the the West, being absent from British isles","yes","yes","Emil Cyranka"
"Bombus","perezi","Europe","Psithyrus",1886,"endemic to Corsica and Elba islands","no","yes","Emil Cyranka"
"Bombus","quadricolor","Europe","Psithyrus",1832,"Pyrenees and the Cantabrian to the South to the middle of Fennoscandia to the North. Its Oriental limit is not well known, likely in the Altai. To the West, it barely reaches the Atlantic coast, being absent from UK","yes","no","Emil Cyranka"
"Bombus","rupestris","Europe","Psithyrus",1793,"from the middle of the Iberian peninsula, the S. Italy and the Balkan to the South to the middle of Scandinavia to the North. It can be found from Ireland to the West to East Sibiria to the East.","yes","no","Emil Cyranka"
"Bombus","sylvestris","Europe","Psithyrus",1832,"from the middle of Iberian peninsula, S. Italy and Balkan to the South and crosses the Arctic Circle to the North. It can be found from Ireland to the West to the Far-East of Russia to the East","yes","no","Emil Cyranka"
"Bombus","vestalis","Europe","Psithyrus",1785,"North Africa to the South to the South of Sweden to the North. It lives from UK to the West to the N-Iran to the East.","yes","no","Emil Cyranka"
